trainer,index,type,subject,input,calc
"Dancer Brian",0,ability,"Spinda","","contrary"
"Dancer Brian",0,moves,"Spinda","[]","['crush claw', 'hammer arm', 'psychic', 'spin out']"
"Dancer Brian",1,ability,"Scizor","","technician"
"Dancer Brian",1,moves,"Scizor","[]","['bullet punch', 'iron head', 'swords dance', 'u-turn']"
"Dancer Brian",2,ability,"Bellossom","","hustle"
"Dancer Brian",2,moves,"Bellossom","[]","['acrobatics', 'dizzy punch', 'teeter dance', 'trop kick']"
"Dancer Brian",3,ability,"Hitmontop","","technician"
"Dancer Brian",3,moves,"Hitmontop","[]","['double hit', 'double kick', 'fake out', 'spin out']"
"Dancer Kidd",0,ability,"Hitmontop","","technician"
"Dancer Kidd",0,moves,"Hitmontop","[]","['brutal swing', 'double kick', 'fake out', 'spin out']"
"Dancer Kidd",1,ability,"Granbull","","intimidate"
"Dancer Kidd",1,moves,"Granbull","[]","['bulk up', 'play rough', 'strength', 'thunder punch']"
"Dancer Kidd",2,ability,"Plusle","","volt absorb"
"Dancer Kidd",2,moves,"Plusle","[]","['dazzling gleam', 'flamethrower', 'light screen', 'thunderbolt']"
"Dancer Kidd",3,ability,"Scrafty","","bulletproof"
"Dancer Kidd",3,moves,"Scrafty","[]","['fake out', 'head smash', 'payback', 'revenge']"
"Depot Agent Hank",0,ability,"Donphan","","sand stream"
"Depot Agent Hank",0,moves,"Donphan","[]","['bulldoze', 'rollout', 'spikes', 'spin out']"
"Depot Agent Hank",1,ability,"Klang","","levitate"
"Depot Agent Hank",1,moves,"Klang","[]","['gear grind', 'seed bomb', 'shift gear', 'zing zap']"
"Depot Agent Hank",2,ability,"Scolipede","","strong body"
"Depot Agent Hank",2,moves,"Scolipede","[]","['lunge', 'poison jab', 'rollout', 'strength']"
"Depot Agent Hank",3,ability,"Onix","","sand force"
"Depot Agent Hank",3,moves,"Onix","[]","['bulldoze', 'iron head', 'rock slide', 'rock smash']"
"Doctor Kit",0,ability,"Kangaskhan","","impish"
"Doctor Kit",0,moves,"Kangaskhan","[]","['block', 'hammer arm', 'retaliate', 'seismic toss']"
"Doctor Kit",1,ability,"Blissey","","healer"
"Doctor Kit",1,moves,"Blissey","[]","['giga impact', 'helping hand', 'protect', 'superpower']"
"Doctor Kit",2,ability,"Bellossom","","flower gift"
"Doctor Kit",2,moves,"Bellossom","[]","['acrobatics', 'petal blizzard', 'sunny day', 'weather ball']"
"Doctor Kit",3,ability,"Audino","","poison heal"
"Doctor Kit",3,moves,"Audino","[]","['blizzard', 'fire blast', 'psychic', 'thunder']"
"Fisherman Andrew",0,ability,"Clamperl","","battle armor"
"Fisherman Andrew",0,moves,"Clamperl","[]","['clamp', 'dazzling gleam', 'iron defense', 'recover']"
"Fisherman Andrew",1,ability,"Dwebble","","weak armor"
"Fisherman Andrew",1,moves,"Dwebble","[]","['razor shell', 'rock slide', 'shell smash', 'x-scissor']"
"Fisherman Andrew",2,ability,"Carvanha","","strong jaw"
"Fisherman Andrew",2,moves,"Carvanha","[]","['crunch', 'ice fang', 'psychic fangs', 'surf']"
"Fisherman Andrew",3,ability,"Lumineon","","swift swim"
"Fisherman Andrew",3,moves,"Lumineon","[]","['air slash', 'bubble beam', 'parabolic zap', 'rain dance']"
"Fisherman Hubert",0,ability,"Clamperl","","battle armor"
"Fisherman Hubert",0,moves,"Clamperl","[]","['ancient power', 'aurora beam', 'dazzling gleam', 'water pulse']"
"Fisherman Hubert",1,ability,"Wormadam","","battle armor"
"Fisherman Hubert",1,moves,"Wormadam","[]","['bug bite', 'bulldoze', 'ingrain', 'rock tomb']"
"Fisherman Hubert",2,ability,"Corsola","","rough skin"
"Fisherman Hubert",2,moves,"Corsola","[]","['poison jab', 'recover', 'rock tomb', 'whirlpool']"
"Fisherman Hubert",3,ability,"Mantine","","water absorb"
"Fisherman Hubert",3,moves,"Mantine","[]","['air cutter', 'bubble beam', 'confuse ray', 'signal beam']"
"Gentleman Daniel",0,ability,"Absol","","tough claws"
"Gentleman Daniel",0,moves,"Absol","[]","['knock off', 'play rough', 'psyblade', 'superpower']"
"Gentleman Daniel",1,ability,"Dusclops","","iron fist"
"Gentleman Daniel",1,moves,"Dusclops","[]","['bulk up', 'drain punch', 'ice hammer', 'shadow punch']"
"Gentleman Daniel",2,ability,"Grumpig","","hustle"
"Gentleman Daniel",2,moves,"Grumpig","[]","['confuse ray', 'shadow punch', 'sucker punch', 'zen headbutt']"
"Gentleman Daniel",3,ability,"Shedinja","","sturdy"
"Gentleman Daniel",3,moves,"Shedinja","[]","['curse', 'earth power', 'scorching swarm', 'shadow force']"
"Girl in Suit Donna",0,ability,"Kecleon","","savant"
"Girl in Suit Donna",0,moves,"Kecleon","[]","['drain punch', 'fake out', 'ice punch', 'sucker punch']"
"Girl in Suit Donna",1,ability,"Spinda","","hustle"
"Girl in Suit Donna",1,moves,"Spinda","[]","['dizzy punch', 'extrasensory', 'fake out', 'feint attack']"
"Guardian of Unova Cobalion",0,ability,"Empoleon","","torrent"
"Guardian of Unova Cobalion",0,moves,"Empoleon","[]","['earthquake', 'hurricane', 'ice beam', 'surf']"
"Guardian of Unova Cobalion",1,ability,"Nidoqueen","","sheer force"
"Guardian of Unova Cobalion",1,moves,"Nidoqueen","[]","['earth power', 'flamethrower', 'ice beam', 'sludge bomb']"
"Guardian of Unova Cobalion",2,ability,"Skarmory","","sturdy"
"Guardian of Unova Cobalion",2,moves,"Skarmory","[]","['fury swipes', 'razor winds', 'spike cannon', 'spikes']"
"Guardian of Unova Cobalion",3,ability,"Sawk","","quick feet"
"Guardian of Unova Cobalion",3,moves,"Sawk","[]","['knock off', 'retaliate', 'strength', 'u-turn']"
"Guardian of Unova Cobalion",4,ability,"Bastiodon","","solid rock"
"Guardian of Unova Cobalion",4,moves,"Bastiodon","[]","['body press', 'counter', 'dragon tail', 'rock wrecker']"
"Guardian of Unova Cobalion",5,ability,"Cobalion","","justified"
"Guardian of Unova Cobalion",5,moves,"Cobalion","[]","['ancient power', 'flash cannon', 'sacred sword', 'work up']"
"Guitarist Anna",0,ability,"Mightyena","","strong jaw"
"Guitarist Anna",0,moves,"Mightyena","[]","['crunch', 'ice fang', 'psychic fangs', 'thunder fang']"
"Guitarist Anna",1,ability,"Luxray","","intimidate"
"Guitarist Anna",1,moves,"Luxray","[]","['howl', 'iron tail', 'payback', 'thunderbolt']"
"Guitarist Anna",2,ability,"Exploud","","anger point"
"Guitarist Anna",2,moves,"Exploud","[]","['none', 'uproar']"
"Guitarist Anna",3,ability,"Houndoom","","turboblaze"
"Guitarist Anna",3,moves,"Houndoom","[]","['crunch', 'energy ball', 'heat wave', 'thunder fang']"
"Guitarist Billy Jo",0,ability,"Krokorok","","intimidate"
"Guitarist Billy Jo",0,moves,"Krokorok","[]","['beat up', 'bone club', 'parting shot', 'rock tomb']"
"Guitarist Billy Jo",1,ability,"Gloom","","merciless"
"Guitarist Billy Jo",1,moves,"Gloom","[]","['disarming voice', 'mega drain', 'poison gas', 'venoshock']"
"Guitarist Billy Jo",2,ability,"Vigoroth","","vital spirit"
"Guitarist Billy Jo",2,moves,"Vigoroth","[]","['beat up', 'follow me', 'poison fang', 'secret power']"
"Guitarist Billy Jo",3,ability,"Voltorb","","volt absorb"
"Guitarist Billy Jo",3,moves,"Voltorb","[]","['gyro ball', 'light screen', 'magnet bomb', 'shock wave']"
"Guitarist Billy Jo",4,ability,"Golbat","","infiltrator"
"Guitarist Billy Jo",4,moves,"Golbat","[]","['air cutter', 'bite', 'confuse ray', 'venoshock']"
"Guy in Suit Larry",0,ability,"Ditto","","imposter"
"Guy in Suit Larry",0,moves,"Ditto","[]","['me first', 'none']"
"Guy in Suit Larry",1,ability,"MR.MIME","","distracting"
"Guy in Suit Larry",1,moves,"MR.MIME","[]","['heart stamp', 'low sweep', 'pursuit', 'zen headbutt']"
"Harlequin Anders",0,ability,"Yanmega","","speed boost"
"Harlequin Anders",0,moves,"Yanmega","[]","['air cutter', 'giga drain', 'power gem', 'signal beam']"
"Harlequin Anders",1,ability,"Cradily","","patient"
"Harlequin Anders",1,moves,"Cradily","[]","['giga drain', 'power gem', 'recover', 'sludge']"
"Harlequin Anders",2,ability,"Ledian","","iron fist"
"Harlequin Anders",2,moves,"Ledian","[]","['ice punch', 'sky uppercut', 'thunder punch', 'u-turn']"
"Harlequin Anders",3,ability,"Smeargle","","savant"
"Harlequin Anders",3,moves,"Smeargle","[]","['dazzling gleam', 'fire lash', 'glaciate', 'lunge']"
"Harlequin Anders",4,ability,"Durant","","heatproof"
"Harlequin Anders",4,moves,"Durant","[]","['crunch', 'metal claw', 'rock slide', 'skitter smack']"
"Harlequin Clarence",0,ability,"Venomoth","","tenacity"
"Harlequin Clarence",0,moves,"Venomoth","[]","['dream eater', 'reflect', 'signal beam', 'sleep powder']"
"Harlequin Clarence",1,ability,"Armaldo","","weak armor"
"Harlequin Clarence",1,moves,"Armaldo","[]","['accelerock', 'natural gift', 'rock slide', 'skitter smack']"
"Harlequin Clarence",2,ability,"Lilligant","","quick feet"
"Harlequin Clarence",2,moves,"Lilligant","[]","['draining kiss', 'force palm', 'leaf tornado', 'sleep powder']"
"Harlequin Clarence",3,ability,"Beautifly","","majestic ward"
"Harlequin Clarence",3,moves,"Beautifly","[]","['attract', 'draining kiss', 'quiver dance', 'silver wind']"
"Harlequin Gary",0,ability,"Volbeat","","prankster"
"Harlequin Gary",0,moves,"Volbeat","[]","['moonlight', 'silver wind', 'sweet scent', 'thunderbolt']"
"Harlequin Gary",1,ability,"Crawdaunt","","adaptability"
"Harlequin Gary",1,moves,"Crawdaunt","[]","['aqua jet', 'night slash', 'razor shell', 'x-scissor']"
"Harlequin Gary",2,ability,"Scyther","","technician"
"Harlequin Gary",2,moves,"Scyther","[]","['bug bite', 'cut', 'swords dance', 'wing attack']"
"Harlequin Gary",3,ability,"Illumise","","tenacity"
"Harlequin Gary",3,moves,"Illumise","[]","['dizzy punch', 'none', 'skitter smack']"
"Harlequin Ian",0,ability,"Spheal","","ice body"
"Harlequin Ian",0,moves,"Spheal","[]","['aqua tail', 'avalanche', 'spin out', 'yawn']"
"Harlequin Ian",1,ability,"Conkeldurr","","naive"
"Harlequin Ian",1,moves,"Conkeldurr","[]","['drain punch', 'knock off', 'mach punch', 'rock wrecker']"
"Harlequin Jack",0,ability,"MR.MIME","","distracting"
"Harlequin Jack",0,moves,"MR.MIME","[]","['concuss', 'fake out', 'heart stamp', 'low sweep']"
"Harlequin Jack",1,ability,"Masquerain","","naughty"
"Harlequin Jack",1,moves,"Masquerain","[]","['air cutter', 'bubble beam', 'icy wind', 'signal beam']"
"Harlequin Jack",2,ability,"Vespiquen","","majestic ward"
"Harlequin Jack",2,moves,"Vespiquen","[]","['aerial ace', 'heal order', 'natural gift', 'x-scissor']"
"Harlequin Jack",3,ability,"Pinsir","","sturdy"
"Harlequin Jack",3,moves,"Pinsir","[]","['bone club', 'natural gift', 'rock tomb', 'vital throw']"
"Harlequin Pat",0,ability,"MIMEJR.","","filter"
"Harlequin Pat",0,moves,"MIMEJR.","[]","['double slap', 'fake out', 'low sweep', 'zen headbutt']"
"Harlequin Pat",1,ability,"Smeargle","","savant"
"Harlequin Pat",1,moves,"Smeargle","[]","['draco meteor', 'scorching swarm', 'thunder', 'triple axel']"
"Hiker Jameson",0,ability,"Flareon","","flash fire"
"Hiker Jameson",0,moves,"Flareon","[]","['double-edge', 'flare blitz', 'superpower', 'wild charge']"
"Hiker Jameson",1,ability,"Camerupt","","quirky"
