	Pokémon	Abil 1		Abil 2		Abil 3 (HA)		Abil 4 (AI Only)		Abil 5 (AI Only)		Abil 6 (AI Only)	
34	Nidoking	Sturdy		Sheer Force		Exploit		Sand Stream		Sand Veil  		Anger Point	
173	Cleffa	Magic Guard		Unaware		Friend Guard		Simple		Simple		Simple	
35	Clefairy	Magic Guard		Unaware		Friend Guard		Simple		Simple		Simple	
36	Clefable	Magic Guard		Unaware		Friend Guard		Simple		Simple		Simple	
37	Vulpix	Flash Fire		Unnerve		Serene Grace		Drought		Illusion		Illusion	
38	Ninetales	Flash Fire		Unnerve		Serene Grace		Drought		Illusion		Illusion	
174	Igglybuff	Pixilate		Magic Bounce		Flare Boost		Moody		Fluffy		Simple	
39	Jigglybuff	Pixilate		Magic Bounce		Flare Boost		Moody		Fluffy		Simple	
40	Wigglytuff	Pixilate		Magic Bounce		Flare Boost		Moody		Fluffy		Simple	
41	Zubat	Infiltrator		Keen Senses		Super Luck		Shadow Tag		Stakeout		Anticipation	
42	Golbat	Infiltrator		Keen Senses		Super Luck		Shadow Tag		Stakeout		Anticipation	
169	Crobat	Infiltrator		Keen Senses		Sniper		Shadow Tag		Stakeout		Anticipation	
43	Oddish	Chlorophyll		Solar Power		Effect Spore		Stench		Effect Spore		Drought	
44	Gloom	Chlorophyll		Solar Power		Effect Spore		Stench		Effect Spore		Drought	
45	Vileplume	Chlorophyll		Solar Power		Merciless		Stench		Effect Spore		Drought	
182	Bellossom	Chlorophyll		Hustle		Flower Gift		Effect Spore		Drought		Flower Gift	
46	Paras	Dry Skin		Contagious		Tough Claws		Effect Spore		Stakeout		Shadow Tag	
47	Parasect	Dry Skin		Contagious		Tough Claws		Effect Spore		Stakeout		Shadow Tag	
48	Venonat	Poison Heal		Tenacity		Keen Senses		Anticipation		Anticipation		Anticipation	
49	Venomoth	Poison Heal		Tenacity		Keen Senses		Anticipation		Anticipation		Anticipation	
50	Diglett	Sand Force		Unnerve		Infiltrator		Stakeout		Arena Trap		Sand Veil	
51	Dugtrio	Sand Force		Unnerve		Infiltrator		Stakeout		Arena Trap		Sand Veil	
52	Meowth	Pickup		Technician		Exploit		Pickpocket		Anticipation		Anticipation	
53	Persian	Pickup		Sniper		Exploit		Pickpocket		Anticipation		Anticipation	
54	Psyduck	Swift Swim		Berserk		Cloud Nine		Drizzle		Anticipation		Trace	
55	Golduck	Swift Swim		Determined		Tough Claws		Drizzle		Anticipation		Trace	
56	Mankey	Defiant		Tenacity		Berserk		Hustle		Anger Point		Moody	
57	Primeape	Defiant		Tenacity		Berserk		Hustle		Anger Point		Moody	
58	Growlithe	Intimidate		Flash Fire		Justified		Drought		Drought		Drought	
59	Arcanine	Intimidate		Determined		Justified		Drought		Drought		Drought	
60	Poliwag	Water Absorb		Swift Swim		Torrent		Drizzle		Drizzle		Drizzle	
61	Poliwhirl	Water Absorb		Swift Swim		Torrent		Drizzle		Drizzle		Drizzle	
62	Poliwrath	Water Absorb		Swift Swim		Torrent		Drizzle		Drizzle		Drizzle	
186	Politoed	Distracting		Water Absorb		Torrent		Drizzle		Drizzle		Drizzle	
63	Abra	Magic Guard		Synchronize		Inner Focus		Anticipation		Illusion		Savant	
64	Kadabra	Magic Guard		Synchronize		Inner Focus		Anticipation		Illusion		Savant	
65	Alakazam	Magic Guard		Trace		Inner Focus		Anticipation		Illusion		Savant	
66	Machop	Guts		No Guard		Strong Body		Mold Breaker		Mold Breaker		Mold Breaker	
67	Machoke	Guts		No Guard		Strong Body		Mold Breaker		Mold Breaker		Mold Breaker	
68	Machamp	Guts		No Guard		Strong Body		Mold Breaker		Mold Breaker		Mold Breaker	
69	Bellsprout	Chlorophyll		Corrosion		No Guard		Stench		Stakeout		Arena Trap	
70	Weepinbell	Chlorophyll		Corrosion		No Guard		Stench		Stakeout		Arena Trap	
71	Victreebell	Chlorophyll		Corrosion		No Guard		Stench		Stakeout		Arena Trap	
72	Tentacool	Merciless		Strong Body		Corrosion		Drizzle		Stakeout		Arena Trap	
73	Tentacruel	Merciless		Strong Body		Corrosion		Drizzle		Stakeout		Arena Trap	
74	Geodude	Sturdy		Determined		Solid Rock		Aftermath		Sand Stream		Sand Veil	
75	Graveler	Sturdy		Determined		Solid Rock		Aftermath		Sand Stream		Sand Veil	
76	Golem	Sturdy		Determined		Solid Rock		Aftermath		Sand Stream		Sand Veil	
77	Ponyta	Flash Fire		Blaze		Run Away		Drought		Hustle		Serene Grace	
78	Rapidash	Flash Fire		Majestic Ward		Run Away		Drought		Hustle		Serene Grace	
79	Slowpoke	Rain Dish		Regenerator		Unaware		Drizzle		Simple		Simple	
80	Slowbro	Shell Armor		Regenerator		Unaware		Drizzle		Simple		Simple	
199	Slowking	Regenerator		Shell Armor		Inner Focus		Drizzle		Simple		Simple	
81	Magnemite	Sturdy		Magnet Pull		Light Metal		Minus		Plus		Levitate	
82	Magneton	Sturdy		Patient		Light Metal		Minus		Plus		Levitate	
462	Magnezone	Sturdy		Patient		Light Metal		Minus		Plus		Levitate	
83	Farfetch'd	Hyper Cutter		Rattled		Defiant		Quick Draw		Hustle		Hustle	
84	Doduo	Run Away		Tough Claws		Sand Rush		Sand Stream		Moody		Sand Veil	
85	Dodrio	Run Away		Tough Claws		Sand Rush		Sand Stream		Moody		Sand Veil	
86	Seel	Keen Senses		Swift Swim		Lightning-Rod		Snow Warning		Slush Rush		Snow Cloak	
87	Dewgong	Keen Senses		Swift Swim		Lightning-Rod		Snow Warning		Slush Rush		Snow Cloak	
88	Grimer	Strong Body		Gooey		Water Absorb		Stench		Poison Touch		Poison Touch	
89	Muk	Strong Body		Gooey		Water Absorb		Stench		Poison Touch		Poison Touch	
90	Shellder	Shell Armor		Skill Link		Bulletproof		Quick Draw		Aftermath		Snow Warning	
91	Cloyster	Shell Armor		Skill Link		Bulletproof		Quick Draw		Aftermath		Snow Warning	
92	Gastly	Levitate		Unnerve		Neutralizing Gas		Shadow Tag		Illusion		Stench	
93	Haunter	Levitate		Unnerve		Neutralizing Gas		Shadow Tag		Illusion		Stench	
94	Gengar	Levitate		Unnerve		Neutralizing Gas		Shadow Tag		Illusion		Stench	
95	Onix	Sturdy		Sand Force		Weak Armor		Sand Stream		Sand Rush		Sand Veil	
209	Steelix	Sturdy		Sheer Force		Heatproof		Sand Stream		Sand Rush		Colossal	
96	Drowzee	Bad Dreams		Merciless		Inner Focus		Shadow Tag		Illusion		Illusion	
97	Hypno	Bad Dreams		Merciless		Inner Focus		Shadow Tag		Illusion		Illusion	
98	Krabby	Shell Armor		Sheer Force		Sturdy		Drizzle		Drizzle		Drizzle	
99	Kingler	Shell Armor		Sheer Force		Sturdy		Drizzle		Drizzle		Drizzle	
100	Voltorb	Reckless		Volt Absorb		Ballistics		Plus		Minus		Aftermath	
101	Electrode	Reckless		Volt Absorb		Ballistics		Plus		Minus		Aftermath	
102	Exeggcute	Chlorophyll		Berserk		Gourmand		Moody		Aftermath		Overcoat	
103	Exeggutor	Chlorophyll		Berserk		Gourmand		Moody		Aftermath		Overcoat	
104	Cubone	Battle Armor		Sturdy		Justified		Quick Draw		Sand Stream		Overcoat	
105	Marowak	Battle Armor		Sturdy		Justified		Quick Draw		Sand Stream		Overcoat	
106	Hitmonlee	Reckless		Unburden		Quick Feet		Hustle		Strong Body		Strong Body	
107	Hitmonchan	Iron Fist		Guts		Battle Armor		Hustle		Strong Body		Strong Body	
237	Hitmontop	Intimidate		Technician		Speed Boost		Hustle		Strong Body		Strong Body	
236	Tyrogue	Defiant		Justified		Hustle		Hustle		Strong Body		Strong Body	
108	Lickitung	Regenerator		Gourmand		Cloud Nine		Stench		Stench		Stench	
463	Lickilicky	Regenerator		Gourmand		Cloud Nine		Stench		Stench		Stench	
109	Koffing	Levitate		Neutralizing Gas		Neutralizing Gas		Aftermath		Quick Draw		Stench	
110	Weezing	Levitate		Neutralizing Gas		Neutralizing Gas		Aftermath		Quick Draw		Stench	
111	Rhyhorn	Solid Rock		Determined		Sturdy		Sand Stream		Berserk		Berserk	
112	Rhydon	Solid Rock		Determined		Sturdy		Sand Stream		Berserk		Berserk	
464	Rhyperior	Solid Rock		Determined		Bulletproof		Sand Stream		Berserk		Berserk	
440	Happiny	Natural Cure		Serene Grace		Healer		Huge Power		Huge Power		Huge Power	
113	Chansey	Natural Cure		Serene Grace		Healer		Huge Power		Huge Power		Huge Power	
242	Blissey	Natural Cure		Serene Grace		Healer		Huge Power		Huge Power		Huge Power	
114	Tangela	Regenerator		Gooey		Overgrow		Chlorophyll		Thick Fat		Thick Fat	
465	Tangrowth	Regenerator		Gooey		Overgrow		Chlorophyll		Thick Fat		Thick Fat	
115	Kangaskhan	Scrappy		Tough Claws		Anger Point		Hustle		Hustle		Hustle	
116	Horsea	Sniper		Marvel Scale		Swift Swim		Drizzle		Quick Draw		Serene Grace	
117	Seadra	Sniper		Marvel Scale		Swift Swim		Drizzle		Quick Draw		Serene Grace	
230	Kingdra	Sniper		Marvel Scale		Swift Swim		Drizzle		Quick Draw		Serene Grace	
118	Goldeen	Motor Drive		Sap Sipper		Moisturize		Drizzle		Drizzle		Drizzle	
119	Seaking	Motor Drive		Sap Sipper		Moisturize		Drizzle		Drizzle		Drizzle	
120	Staryu	Illumination		Regenerator		Mold Breaker		Drizzle		Patient		Swift Swim	
121	Starmie	Illumination		Regenerator		Mold Breaker		Drizzle		Patient		Swift Swim	
439	Mime Jr.	Filter		Technician		Distracting		Savant		Moody		Illusion	
122	Mr. Mime	Filter		Technician		Distracting		Savant		Moody		Illusion	
123	Scyther	Technician		Swarm		Weak Armor		Strong Body		Sturdy		Sturdy	
212	Scizor	Technician		Swarm		Light Metal		Strong Body		Sturdy		Sturdy	
238	Smoochum	Majestic Ward		Dry Skin		Distracting		Snow Warning		Illusion		Snow Cloak	
124	Jynx	Majestic Ward		Dry Skin		Distracting		Snow Warning		Illusion		Snow Cloak	
239	Elekid	Static		Teravolt		Galvanize		Minus		Anger Point		Plus	
125	Electabuzz	Static		Teravolt		Galvanize		Minus		Anger Point		Plus	
466	Electivire	Motor Drive		Teravolt		Galvanize		Minus		Anger Point		Plus	
240	Magby	No Guard		Turboblaze		Ballistics		Quick Draw		Drought		Aftermath	
126	Magmar	No Guard		Turboblaze		Ballistics		Quick Draw		Drought		Aftermath	
467	Magmortar	No Guard		Turboblaze		Ballistics		Quick Draw		Drought		Aftermath	
127	Pinsir	Mold Breaker		Hyper Cutter		Sturdy		Sand Stream		Intimidate		Intimidate	
128	Tauros	Intimidate		Sheer Force		Anger Point		Moody		Berserk		Hustle	
129	Magikarp	Run Away		Rain Dish		Rain Dish		Berserk		Drizzle		Swift Swim	
130	Gyarados	Intimidate		Mold Breaker		Mold Breaker		Berserk		Drizzle		Swift Swim	
131	Lapras	Shell Armor		Ice Body		Refrigerate		Snow Warning		Snow Cloak		Filter	
132	Ditto	Imposter		Imposter		Imposter		?		?		?	
133	Eevee	Adaptability		Fluffy		Savant		Anticipation		Moody		Moody	
134	Vaporeon	Water Absorb		Moisturize		Marvel Scale		Anticipation		Drizzle		Drizzle	
135	Jolteon	Lightningrod		Galvanize		Tenacity		Anticipation		Plus		Minus	
136	Flareon	Flash Fire		Guts		Fur Coat		Anticipation		Drought		Drought	
196	Espeon	Chlorophyll		Magic Bounce		Solar Power		Anticipation		Illusion		Inner Focus	
197	Umbreon	Patient		Magic Guard		Illumination		Anticipation		Stakeout		Illusion	
470	Leafeon	Sap Sipper		Tenacity		Chlorophyll		Anticipation		Drought		Flower Gift	
471	Glaceon	Permafrost		Majestic Ward		Slush Rush		Anticipation		Snow Warning		Snow Cloak	
137	Porygon	Trace		Exploit		Normalize		Levitate		Levitate		Levitate	
233	Porygon2	Trace		Exploit		Normalize		Levitate		Levitate		Levitate	
474	Porygon-Z	Adaptability		Exploit		Normalize		Levitate		Levitate		Levitate	
138	Omanyte	Shell Armor		Weak Armor		Rough Skin		Swift Swim		Sturdy		Sturdy	
139	Omastar	Shell Armor		Weak Armor		Rough Skin		Swift Swim		Sturdy		Sturdy	
140	Kabuto	Skill Link		Battle Armor		Swift Swim		?		?		?	
141	Kabutops	Skill Link		Battle Armor		Swift Swim		?		?		?	
142	Aerodactyl	Tough Claws		Unnerve		Determined		Sand Stream		Sand Veil		Intimidate	
446	Munchlax	Thick Fat		Unaware		Scrappy		Normalize		Normalize		Normalize	
143	Snorlax	Thick Fat		Unaware		Scrappy		Normalize		Normalize		Normalize	
144	Articuno	Ice Body		Ice Body		Ice Body		Snow Warning		Snow Cloak		Snow Cloak	
145	Moltres	Turboblaze		Turboblaze		Turboblaze		Drought		Drought		Drought	
146	Zapdos	Lightningrod		Lightningrod		Lightningrod		Drizzle		Drizzle		Drizzle	
147	Dratini	Marvel Scale		Shed Skin		Majestic Ward		?		?		?	
148	Dragonair	Marvel Scale		Shed Skin		Majestic Ward		?		?		?	
149	Dragonite	Marvel Scale		Resilient		Majestic Ward		?		?		?	
150	Mewtwo	Inner Focus		Inner Focus		Inner Focus		Mold Breaker		Unnerve		Neutralizing Gas	
151	Mew	Synchronize		Synchronize		Synchronize		Mold Breaker		Unnerve		Neutralizing Gas	
152	Chikorita	Overgrow		Healer		Natural Cure		Flower Gift		Serene Grace		Serene Grace	
153	Bayleef	Overgrow		Healer		Natural Cure		Flower Gift		Serene Grace		Serene Grace	
154	Meganium	Overgrow		Healer		Flower Gift		Flower Gift		Serene Grace		Serene Grace	
155	Cyndaquil	Blaze		Flash Fire		Turboblaze		Drought		Sand Stream		Sand Rush	
156	Quilava	Blaze		Flash Fire		Turboblaze		Drought		Sand Stream		Sand Rush	
157	Typhlosion	Blaze		Flash Fire		Turboblaze		Drought		Sand Stream		Sand Rush	
158	Totodile	Torrent		Rough Skin		Sheer Force		Drizzle		Stakeout		Intimidate	
159	Croconaw	Torrent		Rough Skin		Sheer Force		Drizzle		Stakeout		Intimidate	
160	Feraligatr	Torrent		Rough Skin		Sheer Force		Drizzle		Stakeout		Intimidate	
161	Sentret	Adaptability		Run Away		Scrappy		Stakeout		Stakeout		Stakeout	
162	Furret	Adaptability		Run Away		Scrappy		Stakeout		Stakeout		Stakeout	
163	Hoothoot	Keen Senses		Overcoat		Tenacity		Stakeout		Illusion		Shadow Tag	
164	Noctowl	Keen Senses		Overcoat		Tenacity		Stakeout		Illusion		Shadow Tag	
165	Ledyba	Iron Fist		Levitate		Rattled		?		?		?	
166	Ledian	Iron Fist		Levitate		Rattled		?		?		?	
167	Spinarak	Patient		Toxic Boost		Infiltrator		Stakeout		Arena Trap		Arena Trap	
168	Ariados	Patient		Toxic Boost		Infiltrator		Stakeout		Arena Trap		Arena Trap	
170	Chinchou	Illumination		Volt Absorb		Water Absorb		Drizzle		Minus		Plus	
171	Lanturn	Illumination		Volt Absorb		Water Absorb		Drizzle		Minus		Plus	
175	Togepi	Serene Grace		Friend Guard		Natural Cure		Healer		Healer		Healer	
176	Togetic	Serene Grace		Friend Guard		Natural Cure		Healer		Healer		Healer	
468	Togekiss	Serene Grace		Friend Guard		Natural Cure		Healer		Healer		Healer	
177	Natu	Forewarn		Patient		Magic Bounce		Illusion		Trace		Trace	
178	Xatu	Forewarn		Patient		Magic Bounce		Illusion		Trace		Trace	
179	Mareep	Illumination		Static		Overcoat		Plus		Fluffy		Minus	
180	Flaffy	Illumination		Static		Overcoat		Plus		Fluffy		Minus	
181	Ampharos	Illumination		Mold Breaker		Overcoat		Plus		Fluffy		Minus	
298	Azurill	Huge Power		Sap Sipper		Sap Sipper		?		?		?	
183	Marill	Huge Power		Sap Sipper		Sap Sipper		?		?		?	
184	Azumarill	Huge Power		Sap Sipper		Sap Sipper		?		?		?	
438	Bonsly	Rattled		Prankster		Sap Sipper		Sand Stream		Stakeout		Hustle	
185	Sudowoodo	Determined		Prankster		Sap Sipper		Sand Stream		Stakeout		Hustle	
187	Hoppip	Prankster		Sap Sipper		Wind Rider		Drought		Simple		Hustle	
188	Skiploom	Prankster		Sap Sipper		Wind Rider		Drought		Simple		Hustle	
189	Jumpluff	Skill Link		Sap Sipper		Wind Rider		Drought		Simple		Hustle	
190	Aipom	Technician		Speed Boost		Skill Link		?		?		?	
424	Ambipom	Technician		Speed Boost		Skill Link		?		?		?	
191	Sunkern	Flash Fire		Solar Power		Chlorophyll		Drought		Drought		Drought	
192	Sunflora	Flash Fire		Solar Power		Chlorophyll		Drought		Drought		Drought	
193	Yanma	Speed Boost		Tenacity		Keen Senses		?		?		?	
469	Yanmega	Speed Boost		Tenacity		Keen Senses		?		?		?	
194	Wooper	Water Absorb		Unaware		Gooey		Drizzle		Simple		Simple	
195	Quagsire	Water Absorb		Unaware		Gooey		Drizzle		Simple		Simple	
198	Murkrow	Distracting		Prankster		Pickpocket		Stakeout		Moxie		Moxie	
430	Honchkrow	Distracting		Exploit		Pickpocket		Stakeout		Moxie		Moxie	
200	Misdreavus	Levitate		Levitate		Levitate		Illusion		Shadow Tag		Shadow Tag	
429	Mismagius	Levitate		Levitate		Levitate		Illusion		Shadow Tag		Shadow Tag	
201	Unown	Levitate		Levitate		Levitate		Illusion		Shadow Tag		Shadow Tag	
360	Wynaut	Regenerator		Regenerator		Regenerator		Shadow Tag		Shadow Tag		Shadow Tag	
202	Wobbufett	Regenerator		Regenerator		Regenerator		Shadow Tag		Shadow Tag		Shadow Tag	
203	Girafirig	Sap Sipper		Rattled		Quick Feet		Moody		Moody		Moody	
204	Pineco	Battle Armor		Skill Link		Bulletproof		Aftermath		Quick Draw		Ballistics	
205	Forretress	Battle Armor		Skill Link		Bulletproof		Aftermath		Quick Draw		Sturdy	
206	Dunsparce	Serene Grace		Shed Skin		Run Away		Sand Stream		Sand Veil		Sand Veil	
207	Gligar	Poison Heal		Tough Claws		Wind Rider		Sand Stream		Sand Veil		Sand Veil	
472	Gliscor	Poison Heal		Tough Claws		Wind Rider		Sand Stream		Sand Veil		Sand Veil	
209	Snubbul	Intimidate		Quick Feet		Hustle		Guts		Moody		Anger Point	
210	Granbull	Intimidate		Quick Feet		Hustle		Guts		Moody		Anger Point	
211	Qwilfish	Intimidate		Iron Barbs		Swift Swim		Drizzle		Aftermath		Quick Draw	
213	Shuckle	Gourmand		Contrary		Shell Armor		Sand Stream		Moody		Moody	
214	Heracross	Skill Link		Guts		Moxie		?		?		?	
215	Sneasel	Skill Link		Pickpocket		Exploit		Technician		Snow Warning		Snow Cloak	
461	Weavile	Skill Link		Pickpocket		Exploit		Technician		Snow Warning		Snow Cloak	
216	Teddiursa	Guts		Quick Feet		Vital Spirit		Sand Stream		Hustle		Hustle	
217	Ursaring	Guts		Quick Feet		Anger Point		Sand Stream		Hustle		Hustle	
218	Slugma	Gooey		Solid Rock		Water Absorb		Aftermath		Dry Skin		Drought	
219	Magcargo	Gooey		Solid Rock		Water Absorb		Aftermath		Dry Skin		Drought	
220	Swinub	Thick Fat		Ice Body		Berserk		Snow Warning		Snow Cloak		Anger Point	
221	Piloswine	Thick Fat		Ice Body		Berserk		Snow Warning		Snow Cloak		Anger Point	
473	Mamoswine	Thick Fat		Ice Body		Berserk		Snow Warning		Snow Cloak		Anger Point	
222	Corsola	Rough Skin		Regenerator		Water Absorb		Sand Stream		Dry Skin		Hustle	
223	Remoraid	Adaptability		Sniper		Ballistics		Stakeout		Quick Draw		Moody	
224	Octillery	Mold Breaker		Sniper		Ballistics		Stakeout		Quick Draw		Moody	
225	Delibird	Pickup		Refrigerate		Permafrost		Levitate		Moody		Snow Cloak	
458	Mantyke	Water Absorb		Rain Dish		Swift Swim		Drizzle		Drizzle		Drizzle	
226	Mantine	Water Absorb		Rain Dish		Swift Swim		Drizzle		Drizzle		Drizzle	
227	Skarmory	Tenacity		Weak Armor		Sturdy		Thunder Armor		Sand Veil		Sand Veil	
228	Houndour	Berserk		Flash Fire		Unnerve		Turboblaze		Intimidate		Solar Power	
229	Houndoom	Berserk		Flash Fire		Unnerve		Turboblaze		Intimidate		Solar Power	
231	Phanpy	Battle Armor		Speed Boost		Pickup		Sand Stream		Sand Veil		Sturdy 	
232	Donphan	Battle Armor		Speed Boost		Pickup		Sand Stream		Sand Veil		Sturdy 	
234	Stantler	Unnerve		Sap Sipper		Slush Rush		Intimidate		Illusion		Shadow Tag	
235	Smeargle	Savant		Savant		Savant		Moody		Moody		Moody	
241	Miltank	Scrappy		Thick Fat		Healer		?		?		?	
243	Raikou	Majestic Ward		Majestic Ward		Majestic Ward		?		?		?	
244	Entei	Majestic Ward		Majestic Ward		Majestic Ward		?		?		?	
245	Suicune	Majestic Ward		Majestic Ward		Majestic Ward		?		?		?	
246	Larvitar	Guts		Battle Armor		Berserk		Sand Stream		Solid Rock		Solid Rock	
247	Pupitar	Shed Skin		Battle Armor		Berserk		Sand Stream		Solid Rock		Solid Rock	
248	Tyranitar	Guts		Battle Armor		Berserk		Sand Stream		Solid Rock		Solid Rock	
249	Lugia	Majestic Ward		Majestic Ward		Majestic Ward		?		?		?	
250	Ho-Oh	Majestic Ward		Majestic Ward		Regenerator		?		?		?	
251	Celebi	Natural Cure		Natural Cure		Natural Cure		?		?		?	
252	Treecko	Overgrow		Unburden		Technician		Anticipation		Sniper		Solar Power	
253	Grovyle	Hyper Cutter		Unburden		Technician		Anticipation		Sniper		Solar Power	
254	Sceptile	Hyper Cutter		Unburden		Exploit		Anticipation		Sniper		Solar Power	
255	Torchic	Blaze		Quick Feet		Flash Fire		Speed Boost		Drought		Hustle	
256	Combusken	Blaze		Quick Feet		Flash Fire		Speed Boost		Drought		Hustle	
257	Blaziken	Blaze		Quick Feet		Determined		Speed Boost		Drought		Hustle	
258	Mudkip	Torrent		Forewarn		Swift Swim		Drizzle		Sand Stream		Anticipation	
259	Marshtomp	Torrent		Forewarn		Swift Swim		Drizzle		Sand Stream		Anticipation	
260	Swampert	Sheer Force		Forewarn		Swift Swim		Drizzle		Sand Stream		Anticipation	
261	Poochyena	Intimidate		Strong Jaw		Moxie		Stakeout		Stakeout		Stakeout	
262	Mightyena	Intimidate		Strong Jaw		Moxie		Stakeout		Stakeout		Stakeout	
263	Zigzagoon	Tough Claws		Pickup		Speed Boost 		?		?		?	
264	Linoone	Tough Claws		Pickup		Speed Boost 		?		?		?	
265	Wurmple	Poison Point		Resilient		Shed Skin		Anticipation		Anticipation		Anticipation	
266	Silcoon	Battle Armor		Resilient		Shed Skin		Anticipation		Anticipation		Anticipation	
267	Beautifly	Chlorophyll		Majestic Ward		Rivalry		Anticipation		Serene Grace		Serene Grace	
268	Cascoon	Battle Armor		Resilient		Shed Skin		Anticipation		Anticipation		Anticipation	
269	Dustox	Contagious		Merciless		Marvel Scale		Anticipation		Anticipation		Anticipation	
270	Lotad	Swift Swim		Torrent		Rain Dish		Drizzle		Drizzle		Drizzle	
271	Lombre	Swift Swim		Torrent		Rain Dish		Drizzle		Drizzle		Drizzle	
272	Ludicolo	Swift Swim		Torrent		Distracting		Drizzle		Drizzle		Drizzle	
273	Seedot	Sturdy		Shell Armor		Chlorophyll		Drought		Aftermath		Anticipation	
274	Nuzleaf	Technician		Pickpocket		Chlorophyll		Drought		Aftermath		Anticipation	
275	Shiftry	Wind Rider		Pickpocket		Chlorophyll		Drought		Aftermath		Anticipation	
276	Tailow	Guts		Thunder Armor		Thunder Armor		?		?		?	
277	Swellow	Guts		Thunder Armor		Thunder Armor		?		?		?	
278	Wingull	Pickup		Torrent		Marvel Scale		Drizzle		Drizzle		Drizzle	
279	Pelipper	Pickup		Torrent		Marvel Scale		Drizzle		Drizzle		Drizzle	
280	Ralts	Trace		Synchronize		Pixilate		Illusion		Anticipation		Anticipation	
281	Kirlia	Trace		Synchronize		Pixilate		Illusion		Anticipation		Anticipation	
282	Gardevoir	Trace		Friend Guard		Pixilate		Illusion		Anticipation		Anticipation	
475	Gallade	Hyper Cutter		Majestic Ward		Justified		Illusion		Friend Guard		Quick Draw	
283	Surskit	Swift Swim		Rain Dish		Rain Dish		Drizzle		Drizzle		Drizzle	
284	Masquerain	Intimidate		Distracting		Distracting		Drizzle		Drizzle		Drizzle	
285	Shroomish	Technician		Poison Heal		Overgrow		Stench		Effect Spore		Effect Spore	
286	Breloom	Technician		Poison Heal		Overgrow		Stench		Effect Spore		Effect Spore	
287	Slakoth	Slow Start		Truant		Truant		Guts		Strong Body		Unaware	
288	Vigoroth	Hustle		Vital Spirit		Vital Spirit		Guts		Strong Body		Unaware	
289	Slaking	Slow Start		Truant		Truant		Guts		Strong Body		Unaware	
290	Nincada	Keen Senses		Stakeout		Stakeout		Stakeout		Sniper		Sniper	
291	Ninjask	Speed Boost		Infiltrator		Infiltrator		Stakeout		Sniper		Sniper	
